campaign_tag,sample_id,sample_index,method_order,method_key,method_label,method_group,schedule_mode,shots,target_selection_mode,target_fraction,jzz,hx,hz,threshold,bad_count,bad_rate
commeff_tfim_8qubit_highNoise,H00000,0,1,clean,clean,clean,,,,,-1.022768208338797,1.0429285161955684,0.0,0.01,100,1.0
commeff_tfim_8qubit_highNoise,H00000,0,1,clean,clean,clean,,,,,-1.022768208338797,1.0429285161955684,0.0,0.05,96,0.96
commeff_tfim_8qubit_highNoise,H00000,0,1,clean,clean,clean,,,,,-1.022768208338797,1.0429285161955684,0.0,0.1,48,0.48
commeff_tfim_8qubit_highNoise,H00000,0,1,clean,clean,clean,,,,,-1.022768208338797,1.0429285161955684,0.0,0.2,1,0.01
commeff_tfim_8qubit_highNoise,H00000,0,1,clean,clean,clean,,,,,-1.022768208338797,1.0429285161955684,0.0,0.3,0,0.0
commeff_tfim_8qubit_highNoise,H00000,0,2,full,full,full_noise,staged_prob_schedule,,,1.0,-1.022768208338797,1.0429285161955684,0.0,0.01,100,1.0
commeff_tfim_8qubit_highNoise,H00000,0,2,full,full,full_noise,staged_prob_schedule,,,1.0,-1.022768208338797,1.0429285161955684,0.0,0.05,99,0.99
commeff_tfim_8qubit_highNoise,H00000,0,2,full,full,full_noise,staged_prob_schedule,,,1.0,-1.022768208338797,1.0429285161955684,0.0,0.1,1,0.01
commeff_tfim_8qubit_highNoise,H00000,0,2,full,full,full_noise,staged_prob_schedule,,,1.0,-1.022768208338797,1.0429285161955684,0.0,0.2,0,0.0
commeff_tfim_8qubit_highNoise,H00000,0,2,full,full,full_noise,staged_prob_schedule,,,1.0,-1.022768208338797,1.0429285161955684,0.0,0.3,0,0.0
commeff_tfim_8qubit_highNoise,H00000,0,3,top10_fixed,top10_fixed,targeted_pauli,staged_prob_schedule,,top,0.1,-1.022768208338797,1.0429285161955684,0.0,0.01,100,1.0
commeff_tfim_8qubit_highNoise,H00000,0,3,top10_fixed,top10_fixed,targeted_pauli,staged_prob_schedule,,top,0.1,-1.022768208338797,1.0429285161955684,0.0,0.05,98,0.98
commeff_tfim_8qubit_highNoise,H00000,0,3,top10_fixed,top10_fixed,targeted_pauli,staged_prob_schedule,,top,0.1,-1.022768208338797,1.0429285161955684,0.0,0.1,72,0.72
commeff_tfim_8qubit_highNoise,H00000,0,3,top10_fixed,top10_fixed,targeted_pauli,staged_prob_schedule,,top,0.1,-1.022768208338797,1.0429285161955684,0.0,0.2,5,0.05
commeff_tfim_8qubit_highNoise,H00000,0,3,top10_fixed,top10_fixed,targeted_pauli,staged_prob_schedule,,top,0.1,-1.022768208338797,1.0429285161955684,0.0,0.3,0,0.0
commeff_tfim_8qubit_highNoise,H00000,0,4,top50_fixed,top50_fixed,targeted_pauli,staged_prob_schedule,,top,0.5,-1.022768208338797,1.0429285161955684,0.0,0.01,100,1.0
commeff_tfim_8qubit_highNoise,H00000,0,4,top50_fixed,top50_fixed,targeted_pauli,staged_prob_schedule,,top,0.5,-1.022768208338797,1.0429285161955684,0.0,0.05,100,1.0
commeff_tfim_8qubit_highNoise,H00000,0,4,top50_fixed,top50_fixed,targeted_pauli,staged_prob_schedule,,top,0.5,-1.022768208338797,1.0429285161955684,0.0,0.1,58,0.58
commeff_tfim_8qubit_highNoise,H00000,0,4,top50_fixed,top50_fixed,targeted_pauli,staged_prob_schedule,,top,0.5,-1.022768208338797,1.0429285161955684,0.0,0.2,1,0.01
commeff_tfim_8qubit_highNoise,H00000,0,4,top50_fixed,top50_fixed,targeted_pauli,staged_prob_schedule,,top,0.5,-1.022768208338797,1.0429285161955684,0.0,0.3,0,0.0
commeff_tfim_8qubit_highNoise,H00000,0,5,top90_fixed,top90_fixed,targeted_pauli,staged_prob_schedule,,top,0.9,-1.022768208338797,1.0429285161955684,0.0,0.01,100,1.0
commeff_tfim_8qubit_highNoise,H00000,0,5,top90_fixed,top90_fixed,targeted_pauli,staged_prob_schedule,,top,0.9,-1.022768208338797,1.0429285161955684,0.0,0.05,100,1.0
commeff_tfim_8qubit_highNoise,H00000,0,5,top90_fixed,top90_fixed,targeted_pauli,staged_prob_schedule,,top,0.9,-1.022768208338797,1.0429285161955684,0.0,0.1,1,0.01
commeff_tfim_8qubit_highNoise,H00000,0,5,top90_fixed,top90_fixed,targeted_pauli,staged_prob_schedule,,top,0.9,-1.022768208338797,1.0429285161955684,0.0,0.2,0,0.0
commeff_tfim_8qubit_highNoise,H00000,0,5,top90_fixed,top90_fixed,targeted_pauli,staged_prob_schedule,,top,0.9,-1.022768208338797,1.0429285161955684,0.0,0.3,0,0.0
commeff_tfim_8qubit_highNoise,H00000,0,6,bottom10_fixed,bottom10_fixed,targeted_pauli,staged_prob_schedule,,bottom,0.1,-1.022768208338797,1.0429285161955684,0.0,0.01,100,1.0
commeff_tfim_8qubit_highNoise,H00000,0,6,bottom10_fixed,bottom10_fixed,targeted_pauli,staged_prob_schedule,,bottom,0.1,-1.022768208338797,1.0429285161955684,0.0,0.05,95,0.95
commeff_tfim_8qubit_highNoise,H00000,0,6,bottom10_fixed,bottom10_fixed,targeted_pauli,staged_prob_schedule,,bottom,0.1,-1.022768208338797,1.0429285161955684,0.0,0.1,61,0.61
commeff_tfim_8qubit_highNoise,H00000,0,6,bottom10_fixed,bottom10_fixed,targeted_pauli,staged_prob_schedule,,bottom,0.1,-1.022768208338797,1.0429285161955684,0.0,0.2,1,0.01
