key,final_e,normalized_gap,steps,time_s,k,frac,h_id,seed
pruned_19_clean,-3.82682,0.7621,1000,47.6,19,0.20,H00001,54
pruned_38_clean,-5.15653,0.6795,1000,65.4,38,0.40,H00001,54
pruned_58_clean,-9.49077,0.4100,1000,83.4,58,0.60,H00001,54
pruned_77_clean,-9.79984,0.3908,1000,95.7,77,0.80,H00001,54
pruned_96_clean,-10.88259,0.3235,1000,117.3,96,1.00,H00001,54
noise_full,-15.41912,0.0415,830,2284.1,96,1.00,H00001,54
pruned_19_noise,nan,nan,9000,11408.0,19,0.20,H00001,54
pruned_38_noise,-6.42994,0.6003,760,1194.5,38,0.40,H00001,54
pruned_58_noise,-6.50251,0.5958,580,1163.1,58,0.60,H00001,54
pruned_77_noise,-4.59281,0.7145,600,1348.6,77,0.80,H00001,54
pruned_96_noise,-15.41912,0.0415,830,2276.3,96,1.00,H00001,54
selective_19_noise,-10.73251,0.3329,1070,2281.2,19,0.20,H00001,54
selective_38_noise,-12.12519,0.2463,960,2053.3,38,0.40,H00001,54
selective_58_noise,-9.93003,0.3827,770,1819.1,58,0.60,H00001,54
selective_77_noise,-15.41911,0.0415,910,2278.1,77,0.80,H00001,54
selective_96_noise,-15.41912,0.0415,830,2259.9,96,1.00,H00001,54
inv_sel_19_noise,-15.41912,0.0415,1320,3548.1,19,0.20,H00001,54
inv_sel_38_noise,-15.41915,0.0415,940,2288.6,38,0.40,H00001,54
inv_sel_58_noise,-11.40417,0.2911,600,1305.7,58,0.60,H00001,54
inv_sel_77_noise,-11.98335,0.2551,830,1722.4,77,0.80,H00001,54
inv_sel_96_noise,-10.75389,0.3315,580,1046.7,96,1.00,H00001,54
