campaign_tag,sample_id,sample_index,method_order,method_key,method_label,method_group,schedule_mode,shots,target_selection_mode,target_fraction,ground_energy,top_energy,jzz,hx,hz,bad_final_count,bad_final_rate,n_diverged,mean_normalized_gap,median_normalized_gap,mean_total_steps
commeff_tfim_8qubit,H00000,0,1,clean,clean,clean,,,,,-10.183437124401689,10.183437124401689,-1.022768208338797,1.0429285161955684,0.0,48,0.48,0,0.10056100000000001,0.0978,1000
commeff_tfim_8qubit,H00000,0,2,full,full,full_noise,staged_prob_schedule,,,1.0,-10.183437124401689,10.183437124401689,-1.022768208338797,1.0429285161955684,0.0,2,0.02,0,0.06662800000000002,0.0651,642.8
commeff_tfim_8qubit,H00000,0,3,top10_fixed,top10_fixed,targeted_pauli,staged_prob_schedule,,top,0.1,-10.183437124401689,10.183437124401689,-1.022768208338797,1.0429285161955684,0.0,82,0.82,0,0.131247,0.13115,706.2
commeff_tfim_8qubit,H00000,0,4,top50_fixed,top50_fixed,targeted_pauli,staged_prob_schedule,,top,0.5,-10.183437124401689,10.183437124401689,-1.022768208338797,1.0429285161955684,0.0,67,0.67,0,0.11851800000000001,0.1106,852.7
commeff_tfim_8qubit,H00000,0,5,top90_fixed,top90_fixed,targeted_pauli,staged_prob_schedule,,top,0.9,-10.183437124401689,10.183437124401689,-1.022768208338797,1.0429285161955684,0.0,3,0.03,0,0.06688199999999998,0.0649,696.9
commeff_tfim_8qubit,H00000,0,6,bottom10_fixed,bottom10_fixed,targeted_pauli,staged_prob_schedule,,bottom,0.1,-10.183437124401689,10.183437124401689,-1.022768208338797,1.0429285161955684,0.0,64,0.64,0,0.11646300000000002,0.11215,627.4
commeff_tfim_8qubit,H00000,0,7,bottom50_fixed,bottom50_fixed,targeted_pauli,staged_prob_schedule,,bottom,0.5,-10.183437124401689,10.183437124401689,-1.022768208338797,1.0429285161955684,0.0,49,0.49,0,0.11019700000000002,0.0994,741.6
commeff_tfim_8qubit,H00000,0,8,bottom90_fixed,bottom90_fixed,targeted_pauli,staged_prob_schedule,,bottom,0.9,-10.183437124401689,10.183437124401689,-1.022768208338797,1.0429285161955684,0.0,9,0.09,0,0.072664,0.065,681.8
commeff_tfim_8qubit,H00000,0,9,shot_100,shot_100,shot,,100,,,-10.183437124401689,10.183437124401689,-1.022768208338797,1.0429285161955684,0.0,73,0.73,0,0.12874134975676857,0.12464059596341018,1000
commeff_tfim_8qubit,H00001,1,1,clean,clean,clean,,,,,-16.087213925340926,16.087213925340926,0.9185630992485563,-1.9134118252881938,0.0,56,0.56,0,0.102329,0.1028,1000
commeff_tfim_8qubit,H00001,1,2,full,full,full_noise,staged_prob_schedule,,,1.0,-16.087213925340926,16.087213925340926,0.9185630992485563,-1.9134118252881938,0.0,1,0.01,0,0.021738999999999994,0.0208,843.6
commeff_tfim_8qubit,H00001,1,3,top10_fixed,top10_fixed,targeted_pauli,staged_prob_schedule,,top,0.1,-16.087213925340926,16.087213925340926,0.9185630992485563,-1.9134118252881938,0.0,83,0.83,0,0.145255,0.14179999999999998,747.7
commeff_tfim_8qubit,H00001,1,4,top50_fixed,top50_fixed,targeted_pauli,staged_prob_schedule,,top,0.5,-16.087213925340926,16.087213925340926,0.9185630992485563,-1.9134118252881938,0.0,76,0.76,0,0.12747499999999998,0.13265,920
commeff_tfim_8qubit,H00001,1,5,top90_fixed,top90_fixed,targeted_pauli,staged_prob_schedule,,top,0.9,-16.087213925340926,16.087213925340926,0.9185630992485563,-1.9134118252881938,0.0,3,0.03,0,0.02407499999999999,0.0208,906.4
commeff_tfim_8qubit,H00001,1,6,bottom10_fixed,bottom10_fixed,targeted_pauli,staged_prob_schedule,,bottom,0.1,-16.087213925340926,16.087213925340926,0.9185630992485563,-1.9134118252881938,0.0,64,0.64,0,0.109217,0.1084,640
commeff_tfim_8qubit,H00001,1,7,bottom50_fixed,bottom50_fixed,targeted_pauli,staged_prob_schedule,,bottom,0.5,-16.087213925340926,16.087213925340926,0.9185630992485563,-1.9134118252881938,0.0,72,0.72,0,0.11139099999999998,0.11099999999999999,833.7
commeff_tfim_8qubit,H00001,1,8,bottom90_fixed,bottom90_fixed,targeted_pauli,staged_prob_schedule,,bottom,0.9,-16.087213925340926,16.087213925340926,0.9185630992485563,-1.9134118252881938,0.0,10,0.1,0,0.032361999999999995,0.0208,827.6
commeff_tfim_8qubit,H00001,1,9,shot_100,shot_100,shot,,100,,,-16.087213925340926,16.087213925340926,0.9185630992485563,-1.9134118252881938,0.0,76,0.76,0,0.12532908561266531,0.13026543591504552,1000
commeff_tfim_8qubit,H00002,2,1,clean,clean,clean,,,,,-14.394334375222694,14.394334375222694,-1.922442538910711,0.8416061333504223,0.0,48,0.48,0,0.095335,0.0915,1000
commeff_tfim_8qubit,H00002,2,2,full,full,full_noise,staged_prob_schedule,,,1.0,-14.394334375222694,14.394334375222694,-1.922442538910711,0.8416061333504223,0.0,38,0.38,0,0.052994999999999994,0.0161,586.5
commeff_tfim_8qubit,H00002,2,3,top10_fixed,top10_fixed,targeted_pauli,staged_prob_schedule,,top,0.1,-14.394334375222694,14.394334375222694,-1.922442538910711,0.8416061333504223,0.0,69,0.69,0,0.131716,0.1324,747.9
