campaign_tag,sample_id,sample_index,method_order,method_key,method_label,method_group,schedule_mode,target_selection_mode,target_fraction,jzz,hx,hz,threshold,bad_count,bad_rate
commeff_tfim_8qubit,H00000,0,1,clean,clean,clean,,,,-1.022768208338797,1.0429285161955684,0.0,0.01,100,1.0
commeff_tfim_8qubit,H00000,0,1,clean,clean,clean,,,,-1.022768208338797,1.0429285161955684,0.0,0.05,96,0.96
commeff_tfim_8qubit,H00000,0,1,clean,clean,clean,,,,-1.022768208338797,1.0429285161955684,0.0,0.1,48,0.48
commeff_tfim_8qubit,H00000,0,1,clean,clean,clean,,,,-1.022768208338797,1.0429285161955684,0.0,0.2,1,0.01
commeff_tfim_8qubit,H00000,0,1,clean,clean,clean,,,,-1.022768208338797,1.0429285161955684,0.0,0.3,0,0.0
commeff_tfim_8qubit,H00000,0,2,full,full,full_noise,staged_prob_schedule,,1.0,-1.022768208338797,1.0429285161955684,0.0,0.01,100,1.0
commeff_tfim_8qubit,H00000,0,2,full,full,full_noise,staged_prob_schedule,,1.0,-1.022768208338797,1.0429285161955684,0.0,0.05,100,1.0
commeff_tfim_8qubit,H00000,0,2,full,full,full_noise,staged_prob_schedule,,1.0,-1.022768208338797,1.0429285161955684,0.0,0.1,2,0.02
commeff_tfim_8qubit,H00000,0,2,full,full,full_noise,staged_prob_schedule,,1.0,-1.022768208338797,1.0429285161955684,0.0,0.2,0,0.0
commeff_tfim_8qubit,H00000,0,2,full,full,full_noise,staged_prob_schedule,,1.0,-1.022768208338797,1.0429285161955684,0.0,0.3,0,0.0
commeff_tfim_8qubit,H00000,0,3,top10_fixed,top10_fixed,targeted_pauli,staged_prob_schedule,top,0.1,-1.022768208338797,1.0429285161955684,0.0,0.01,100,1.0
commeff_tfim_8qubit,H00000,0,3,top10_fixed,top10_fixed,targeted_pauli,staged_prob_schedule,top,0.1,-1.022768208338797,1.0429285161955684,0.0,0.05,96,0.96
commeff_tfim_8qubit,H00000,0,3,top10_fixed,top10_fixed,targeted_pauli,staged_prob_schedule,top,0.1,-1.022768208338797,1.0429285161955684,0.0,0.1,82,0.82
commeff_tfim_8qubit,H00000,0,3,top10_fixed,top10_fixed,targeted_pauli,staged_prob_schedule,top,0.1,-1.022768208338797,1.0429285161955684,0.0,0.2,6,0.06
commeff_tfim_8qubit,H00000,0,3,top10_fixed,top10_fixed,targeted_pauli,staged_prob_schedule,top,0.1,-1.022768208338797,1.0429285161955684,0.0,0.3,0,0.0
commeff_tfim_8qubit,H00000,0,4,top50_fixed,top50_fixed,targeted_pauli,staged_prob_schedule,top,0.5,-1.022768208338797,1.0429285161955684,0.0,0.01,100,1.0
commeff_tfim_8qubit,H00000,0,4,top50_fixed,top50_fixed,targeted_pauli,staged_prob_schedule,top,0.5,-1.022768208338797,1.0429285161955684,0.0,0.05,100,1.0
commeff_tfim_8qubit,H00000,0,4,top50_fixed,top50_fixed,targeted_pauli,staged_prob_schedule,top,0.5,-1.022768208338797,1.0429285161955684,0.0,0.1,67,0.67
commeff_tfim_8qubit,H00000,0,4,top50_fixed,top50_fixed,targeted_pauli,staged_prob_schedule,top,0.5,-1.022768208338797,1.0429285161955684,0.0,0.2,2,0.02
commeff_tfim_8qubit,H00000,0,4,top50_fixed,top50_fixed,targeted_pauli,staged_prob_schedule,top,0.5,-1.022768208338797,1.0429285161955684,0.0,0.3,0,0.0
commeff_tfim_8qubit,H00000,0,5,top90_fixed,top90_fixed,targeted_pauli,staged_prob_schedule,top,0.9,-1.022768208338797,1.0429285161955684,0.0,0.01,100,1.0
commeff_tfim_8qubit,H00000,0,5,top90_fixed,top90_fixed,targeted_pauli,staged_prob_schedule,top,0.9,-1.022768208338797,1.0429285161955684,0.0,0.05,100,1.0
commeff_tfim_8qubit,H00000,0,5,top90_fixed,top90_fixed,targeted_pauli,staged_prob_schedule,top,0.9,-1.022768208338797,1.0429285161955684,0.0,0.1,3,0.03
commeff_tfim_8qubit,H00000,0,5,top90_fixed,top90_fixed,targeted_pauli,staged_prob_schedule,top,0.9,-1.022768208338797,1.0429285161955684,0.0,0.2,0,0.0
commeff_tfim_8qubit,H00000,0,5,top90_fixed,top90_fixed,targeted_pauli,staged_prob_schedule,top,0.9,-1.022768208338797,1.0429285161955684,0.0,0.3,0,0.0
commeff_tfim_8qubit,H00000,0,6,bottom10_fixed,bottom10_fixed,targeted_pauli,staged_prob_schedule,bottom,0.1,-1.022768208338797,1.0429285161955684,0.0,0.01,100,1.0
commeff_tfim_8qubit,H00000,0,6,bottom10_fixed,bottom10_fixed,targeted_pauli,staged_prob_schedule,bottom,0.1,-1.022768208338797,1.0429285161955684,0.0,0.05,97,0.97
commeff_tfim_8qubit,H00000,0,6,bottom10_fixed,bottom10_fixed,targeted_pauli,staged_prob_schedule,bottom,0.1,-1.022768208338797,1.0429285161955684,0.0,0.1,64,0.64
commeff_tfim_8qubit,H00000,0,6,bottom10_fixed,bottom10_fixed,targeted_pauli,staged_prob_schedule,bottom,0.1,-1.022768208338797,1.0429285161955684,0.0,0.2,5,0.05
commeff_tfim_8qubit,H00000,0,6,bottom10_fixed,bottom10_fixed,targeted_pauli,staged_prob_schedule,bottom,0.1,-1.022768208338797,1.0429285161955684,0.0,0.3,0,0.0
commeff_tfim_8qubit,H00000,0,7,bottom50_fixed,bottom50_fixed,targeted_pauli,staged_prob_schedule,bottom,0.5,-1.022768208338797,1.0429285161955684,0.0,0.01,100,1.0
commeff_tfim_8qubit,H00000,0,7,bottom50_fixed,bottom50_fixed,targeted_pauli,staged_prob_schedule,bottom,0.5,-1.022768208338797,1.0429285161955684,0.0,0.05,100,1.0
commeff_tfim_8qubit,H00000,0,7,bottom50_fixed,bottom50_fixed,targeted_pauli,staged_prob_schedule,bottom,0.5,-1.022768208338797,1.0429285161955684,0.0,0.1,49,0.49
commeff_tfim_8qubit,H00000,0,7,bottom50_fixed,bottom50_fixed,targeted_pauli,staged_prob_schedule,bottom,0.5,-1.022768208338797,1.0429285161955684,0.0,0.2,3,0.03
commeff_tfim_8qubit,H00000,0,7,bottom50_fixed,bottom50_fixed,targeted_pauli,staged_prob_schedule,bottom,0.5,-1.022768208338797,1.0429285161955684,0.0,0.3,0,0.0
commeff_tfim_8qubit,H00000,0,8,bottom90_fixed,bottom90_fixed,targeted_pauli,staged_prob_schedule,bottom,0.9,-1.022768208338797,1.0429285161955684,0.0,0.01,100,1.0
commeff_tfim_8qubit,H00000,0,8,bottom90_fixed,bottom90_fixed,targeted_pauli,staged_prob_schedule,bottom,0.9,-1.022768208338797,1.0429285161955684,0.0,0.05,100,1.0
commeff_tfim_8qubit,H00000,0,8,bottom90_fixed,bottom90_fixed,targeted_pauli,staged_prob_schedule,bottom,0.9,-1.022768208338797,1.0429285161955684,0.0,0.1,9,0.09
commeff_tfim_8qubit,H00000,0,8,bottom90_fixed,bottom90_fixed,targeted_pauli,staged_prob_schedule,bottom,0.9,-1.022768208338797,1.0429285161955684,0.0,0.2,0,0.0
commeff_tfim_8qubit,H00000,0,8,bottom90_fixed,bottom90_fixed,targeted_pauli,staged_prob_schedule,bottom,0.9,-1.022768208338797,1.0429285161955684,0.0,0.3,0,0.0
commeff_tfim_8qubit,H00001,1,1,clean,clean,clean,,,,0.9185630992485563,-1.9134118252881938,0.0,0.01,100,1.0
commeff_tfim_8qubit,H00001,1,1,clean,clean,clean,,,,0.9185630992485563,-1.9134118252881938,0.0,0.05,91,0.91
commeff_tfim_8qubit,H00001,1,1,clean,clean,clean,,,,0.9185630992485563,-1.9134118252881938,0.0,0.1,56,0.56
commeff_tfim_8qubit,H00001,1,1,clean,clean,clean,,,,0.9185630992485563,-1.9134118252881938,0.0,0.2,2,0.02
commeff_tfim_8qubit,H00001,1,1,clean,clean,clean,,,,0.9185630992485563,-1.9134118252881938,0.0,0.3,0,0.0
commeff_tfim_8qubit,H00001,1,2,full,full,full_noise,staged_prob_schedule,,1.0,0.9185630992485563,-1.9134118252881938,0.0,0.01,100,1.0
commeff_tfim_8qubit,H00001,1,2,full,full,full_noise,staged_prob_schedule,,1.0,0.9185630992485563,-1.9134118252881938,0.0,0.05,1,0.01
commeff_tfim_8qubit,H00001,1,2,full,full,full_noise,staged_prob_schedule,,1.0,0.9185630992485563,-1.9134118252881938,0.0,0.1,1,0.01
commeff_tfim_8qubit,H00001,1,2,full,full,full_noise,staged_prob_schedule,,1.0,0.9185630992485563,-1.9134118252881938,0.0,0.2,0,0.0
commeff_tfim_8qubit,H00001,1,2,full,full,full_noise,staged_prob_schedule,,1.0,0.9185630992485563,-1.9134118252881938,0.0,0.3,0,0.0
commeff_tfim_8qubit,H00001,1,3,top10_fixed,top10_fixed,targeted_pauli,staged_prob_schedule,top,0.1,0.9185630992485563,-1.9134118252881938,0.0,0.01,100,1.0
commeff_tfim_8qubit,H00001,1,3,top10_fixed,top10_fixed,targeted_pauli,staged_prob_schedule,top,0.1,0.9185630992485563,-1.9134118252881938,0.0,0.05,95,0.95
commeff_tfim_8qubit,H00001,1,3,top10_fixed,top10_fixed,targeted_pauli,staged_prob_schedule,top,0.1,0.9185630992485563,-1.9134118252881938,0.0,0.1,83,0.83
commeff_tfim_8qubit,H00001,1,3,top10_fixed,top10_fixed,targeted_pauli,staged_prob_schedule,top,0.1,0.9185630992485563,-1.9134118252881938,0.0,0.2,20,0.2
commeff_tfim_8qubit,H00001,1,3,top10_fixed,top10_fixed,targeted_pauli,staged_prob_schedule,top,0.1,0.9185630992485563,-1.9134118252881938,0.0,0.3,0,0.0
commeff_tfim_8qubit,H00001,1,4,top50_fixed,top50_fixed,targeted_pauli,staged_prob_schedule,top,0.5,0.9185630992485563,-1.9134118252881938,0.0,0.01,100,1.0
commeff_tfim_8qubit,H00001,1,4,top50_fixed,top50_fixed,targeted_pauli,staged_prob_schedule,top,0.5,0.9185630992485563,-1.9134118252881938,0.0,0.05,96,0.96
commeff_tfim_8qubit,H00001,1,4,top50_fixed,top50_fixed,targeted_pauli,staged_prob_schedule,top,0.5,0.9185630992485563,-1.9134118252881938,0.0,0.1,76,0.76
